file,class,method,variable,usage
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\SyncThread.java,onlyTests.threads.synchron.SyncThread,run/0,i,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\SyncThread.java,onlyTests.threads.synchron.SyncThread,"SyncThread/2[java.lang.String,onlyTests.threads.synchron.Resource]",rs,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\SyncThread.java,onlyTests.threads.synchron.SyncThread,"SyncThread/2[java.lang.String,onlyTests.threads.synchron.Resource]",name,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_6\task_5\SiemensMobile.java,chapter_6.task_5.SiemensMobile,call/1[java.lang.String],str,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_6\task_5\SiemensMobile.java,chapter_6.task_5.SiemensMobile,getAllContact/0,temp,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_6\task_5\SiemensMobile.java,chapter_6.task_5.SiemensMobile,getAllContact/0,cont,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_6\task_5\SiemensMobile.java,chapter_6.task_5.SiemensMobile,setLock/1[boolean],lock,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\CellsComparator.java,chapter_10.task_B_13.CellsComparator,"compare/2[chapter_10.task_B_13.SmallSquare,chapter_10.task_B_13.SmallSquare]",o1,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\CellsComparator.java,chapter_10.task_B_13.CellsComparator,"compare/2[chapter_10.task_B_13.SmallSquare,chapter_10.task_B_13.SmallSquare]",o2,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\CellsComparator.java,chapter_10.task_B_13.CellsComparator,"compare/2[chapter_10.task_B_13.SmallSquare,chapter_10.task_B_13.SmallSquare]",xCentr2,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\CellsComparator.java,chapter_10.task_B_13.CellsComparator,"compare/2[chapter_10.task_B_13.SmallSquare,chapter_10.task_B_13.SmallSquare]",yCentr2,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\CellsComparator.java,chapter_10.task_B_13.CellsComparator,"compare/2[chapter_10.task_B_13.SmallSquare,chapter_10.task_B_13.SmallSquare]",yCentr1,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\CellsComparator.java,chapter_10.task_B_13.CellsComparator,"compare/2[chapter_10.task_B_13.SmallSquare,chapter_10.task_B_13.SmallSquare]",dist1,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\CellsComparator.java,chapter_10.task_B_13.CellsComparator,"compare/2[chapter_10.task_B_13.SmallSquare,chapter_10.task_B_13.SmallSquare]",xCentr1,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\CellsComparator.java,chapter_10.task_B_13.CellsComparator,"compare/2[chapter_10.task_B_13.SmallSquare,chapter_10.task_B_13.SmallSquare]",dist2,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\simpleBD\ConnectorDB.java,onlyTests.DB.simpleBD.ConnectorDB,getConnection/0,resource,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\simpleBD\ConnectorDB.java,onlyTests.DB.simpleBD.ConnectorDB,getConnection/0,pass,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\simpleBD\ConnectorDB.java,onlyTests.DB.simpleBD.ConnectorDB,getConnection/0,user,1
