file,class,method,variable,usage
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProDesarrollo/0,subTarea21,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProDiseno/0,entregable,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProDiseno/0,subProyecto,5
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProDiseno/0,tarea3,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProDiseno/0,tarea1,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProDiseno/0,tarea2,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProAnalisis/0,entregable,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProAnalisis/0,subProyecto,5
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProAnalisis/0,tarea3,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProAnalisis/0,subTarea12,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProAnalisis/0,tarea1,3
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProAnalisis/0,subTarea11,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProAnalisis/0,subTarea22,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProAnalisis/0,tarea2,3
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProAnalisis/0,subTarea21,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProImplementacion/0,entregable,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProImplementacion/0,subProyecto,4
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProImplementacion/0,tarea1,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProImplementacion/0,tarea2,1
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\Forma.java,com.sidlors.patterns.polimorfismo.Forma,dondeEstoy/0,lugar,1
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\Forma.java,com.sidlors.patterns.polimorfismo.Forma,"mover/2[int,int]",nuevoX,1
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\Forma.java,com.sidlors.patterns.polimorfismo.Forma,"mover/2[int,int]",nuevoY,1
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\abstracta\Forma.java,com.sidlors.patterns.polimorfismo.abstracta.Forma,"mover/2[int,int]",nuevoX,1
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\abstracta\Forma.java,com.sidlors.patterns.polimorfismo.abstracta.Forma,"mover/2[int,int]",nuevoY,1
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\abstracta\Forma.java,com.sidlors.patterns.polimorfismo.abstracta.Forma,dondeEstoy/0,lugar,1
C:\patrones-master\07.1_Proxy\src\main\java\mx\sidlors\pattern\proxy\ThirdPartyYoutubeClass.java,mx.sidlors.pattern.proxy.ThirdPartyYoutubeClass,getVideo/1[java.lang.String],videoId,2
